,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",305.0,0.0486
1.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",1275.0,0.2033
2.0,3.0,"window, kansa, article, descend, canadian, silva, album, fuck, day, claim",1733.0,0.2764
3.0,6.0,"know, article, section, go, temperature, pa, make, fuck, change, see",89.0,0.0142
4.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",71.0,0.0113
5.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",372.0,0.0593
6.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",161.0,0.0257
7.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",773.0,0.1233
8.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",1192.0,0.1901
9.0,5.0,"suck, think, make, wikipedia, comment, people, know, go, say, article",300.0,0.0478
10.0,6.0,"know, article, section, go, temperature, pa, make, fuck, change, see",,
11.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
12.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
13.0,5.0,"suck, think, make, wikipedia, comment, people, know, go, say, article",,
14.0,6.0,"know, article, section, go, temperature, pa, make, fuck, change, see",,
15.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
16.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
17.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
18.0,9.0,"say, article, time, go, get, make, people, wolf, also, think",,
19.0,5.0,"suck, think, make, wikipedia, comment, people, know, go, say, article",,
20.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
21.0,9.0,"say, article, time, go, get, make, people, wolf, also, think",,
22.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
23.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
24.0,5.0,"suck, think, make, wikipedia, comment, people, know, go, say, article",,
25.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
26.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
27.0,6.0,"know, article, section, go, temperature, pa, make, fuck, change, see",,
28.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
29.0,9.0,"say, article, time, go, get, make, people, wolf, also, think",,
30.0,6.0,"know, article, section, go, temperature, pa, make, fuck, change, see",,
31.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
32.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
33.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
34.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
35.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
36.0,3.0,"window, kansa, article, descend, canadian, silva, album, fuck, day, claim",,
37.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
38.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
39.0,9.0,"say, article, time, go, get, make, people, wolf, also, think",,
40.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
41.0,5.0,"suck, think, make, wikipedia, comment, people, know, go, say, article",,
42.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
43.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
44.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
45.0,9.0,"say, article, time, go, get, make, people, wolf, also, think",,
46.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
47.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
48.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
49.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
50.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
51.0,9.0,"say, article, time, go, get, make, people, wolf, also, think",,
52.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
53.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
54.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
55.0,5.0,"suck, think, make, wikipedia, comment, people, know, go, say, article",,
56.0,0.0,"wikipedia, article, thank, use, experiment, like, nonsense, time, fuck, look",,
57.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
58.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
59.0,3.0,"window, kansa, article, descend, canadian, silva, album, fuck, day, claim",,
60.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
61.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
62.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
63.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
64.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
65.0,5.0,"suck, think, make, wikipedia, comment, people, know, go, say, article",,
66.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
67.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
68.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
69.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
70.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
71.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
72.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
73.0,6.0,"know, article, section, go, temperature, pa, make, fuck, change, see",,
74.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
75.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
76.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
77.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
78.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
79.0,0.0,"wikipedia, article, thank, use, experiment, like, nonsense, time, fuck, look",,
80.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
81.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
82.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
83.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
84.0,0.0,"wikipedia, article, thank, use, experiment, like, nonsense, time, fuck, look",,
85.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
86.0,2.0,"article, page, wikipedia, edit, see, use, talk, link, add, need",,
87.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
88.0,1.0,"say, article, know, time, think, make, people, see, wikipedia, read",,
89.0,8.0,"article, page, use, wikipedia, name, thank, change, image, edit, comment",,
90.0,7.0,"article, know, make, think, even, people, write, wikipedia, do, go",,
