,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",9.0,0.1667
1.0,6.0,"vandalizer, cuntnlu, nlu, article, cunt, belarusian, jem, assembly, link, nazist",1.0,0.0185
2.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",10.0,0.1852
3.0,4.0,"article, theory, add, decline, link, machine, assembly, fall, use, word",3.0,0.0556
4.0,5.0,"article, name, ventura, read, link, engine, write, barry, also, thank",5.0,0.0926
5.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",7.0,0.1296
6.0,9.0,"suck, nigger, article, ballznigger, nat, widr, source, burmese, murder, xdicksx",3.0,0.0556
7.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",5.0,0.0926
8.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",6.0,0.1111
9.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",5.0,0.0926
10.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",,
11.0,4.0,"article, theory, add, decline, link, machine, assembly, fall, use, word",,
12.0,4.0,"article, theory, add, decline, link, machine, assembly, fall, use, word",,
13.0,7.0,"article, theory, write, conspiracy, consensus, ask, actively, unite, proposal, appear",,
14.0,4.0,"article, theory, add, decline, link, machine, assembly, fall, use, word",,
15.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",,
16.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",,
17.0,4.0,"article, theory, add, decline, link, machine, assembly, fall, use, word",,
18.0,8.0,"article, use, see, compton, give, title, diacritic, new, come, discussion",,
19.0,8.0,"article, use, see, compton, give, title, diacritic, new, come, discussion",,
20.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",,
21.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",,
22.0,6.0,"vandalizer, cuntnlu, nlu, article, cunt, belarusian, jem, assembly, link, nazist",,
23.0,6.0,"vandalizer, cuntnlu, nlu, article, cunt, belarusian, jem, assembly, link, nazist",,
24.0,3.0,"cock, hammersoft, suck, category, cuntnlu, userpage, article, change, texas, give",,
25.0,8.0,"article, use, see, compton, give, title, diacritic, new, come, discussion",,
26.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",,
27.0,9.0,"suck, nigger, article, ballznigger, nat, widr, source, burmese, murder, xdicksx",,
28.0,9.0,"suck, nigger, article, ballznigger, nat, widr, source, burmese, murder, xdicksx",,
29.0,5.0,"article, name, ventura, read, link, engine, write, barry, also, thank",,
30.0,5.0,"article, name, ventura, read, link, engine, write, barry, also, thank",,
31.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",,
32.0,7.0,"article, theory, write, conspiracy, consensus, ask, actively, unite, proposal, appear",,
33.0,3.0,"cock, hammersoft, suck, category, cuntnlu, userpage, article, change, texas, give",,
34.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",,
35.0,8.0,"article, use, see, compton, give, title, diacritic, new, come, discussion",,
36.0,9.0,"suck, nigger, article, ballznigger, nat, widr, source, burmese, murder, xdicksx",,
37.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",,
38.0,0.0,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",,
39.0,7.0,"article, theory, write, conspiracy, consensus, ask, actively, unite, proposal, appear",,
40.0,5.0,"article, name, ventura, read, link, engine, write, barry, also, thank",,
41.0,5.0,"article, name, ventura, read, link, engine, write, barry, also, thank",,
42.0,8.0,"article, use, see, compton, give, title, diacritic, new, come, discussion",,
43.0,5.0,"article, name, ventura, read, link, engine, write, barry, also, thank",,
44.0,7.0,"article, theory, write, conspiracy, consensus, ask, actively, unite, proposal, appear",,
45.0,8.0,"article, use, see, compton, give, title, diacritic, new, come, discussion",,
46.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",,
47.0,5.0,"article, name, ventura, read, link, engine, write, barry, also, thank",,
48.0,3.0,"cock, hammersoft, suck, category, cuntnlu, userpage, article, change, texas, give",,
49.0,1.0,"cunt, smelly, moist, comment, list, thank, notability, book, decline, byline",,
50.0,7.0,"article, theory, write, conspiracy, consensus, ask, actively, unite, proposal, appear",,
51.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",,
52.0,2.0,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",,
53.0,9.0,"suck, nigger, article, ballznigger, nat, widr, source, burmese, murder, xdicksx",,
