,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,11.0,0.8452361822128296,"article, suck, write, theory, decline, many, person, kasparov, fall, say",person write article many problem
1,1,5.0,0.9309445023536682,"vandalizer, link, assembly, interwiki, machine, new, add, article, translation, wikipedia",vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalize
2,2,7.0,0.965607225894928,"article, seem, comment, list, great, use, decline, discussion, also, redirect",absolutely brilliant see many article trashy magazine info directly one article load lead first episode x factor old change format section reward though ps look discussion page series article
3,3,5.0,0.9755633473396301,"vandalizer, link, assembly, interwiki, machine, new, add, article, translation, wikipedia",machine translation notice added interwiki link de nl vi assembly god dutch nl interwiki link link new article add dutchlanguage wikipedia new article contain rubbish look like machine translation word assembly translate word use assembly assemblyline factory help wikipedia action
4,4,10.0,0.9071382284164429,"suck, article, category, userpage, deletion, nat, theory, source, change, use",thinkafter read article quite could thorough overhaul know stamina bravery
5,5,10.0,0.9071400165557861,"suck, article, category, userpage, deletion, nat, theory, source, change, use",article article literaly suck suck much best improve soon
6,6,12.0,0.9990267157554626,"suck, kasparov, fischer, article, thing, qualify, eccentric, jew, also, careful",grrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck
7,7,1.0,0.9380930662155151,"suck, article, moore, belarusian, note, change, product, universal, capital, nazist",featured article feel assesment article within scope fsu wikiproject signature article reflect eveveryone hard work
8,8,8.0,0.9419624209403992,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",featured article article mario really featured article seem anywhere near good others feature article tag
9,9,7.0,0.9892000555992126,"article, seem, comment, list, great, use, decline, discussion, also, redirect",suspect responsible phonetics section add linguistics section claim literary text quote natural language believe find citation support ought therefore delete much defence keep transcript subjective pov retain make second tell story necessary add evidence inadmissable duality subject certainly agree fable connection ipa work interesting mention include never argue otherwise transcription technical data however intrusive belongs seperate article focus subject therefore propose create article time proper citation provide link article remain focused fable general can not agree essence discussion subedit happy matter take arbitration would interest learn opinion others mzilikazi talk
