,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,3.0,"think, article, say, get, time, know, see, make, people, take",450.0,0.0717
1.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",202.0,0.0322
2.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",1042.0,0.1661
3.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",457.0,0.0729
4.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",152.0,0.0242
5.0,3.0,"think, article, say, get, time, know, see, make, people, take",246.0,0.0392
6.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",174.0,0.0277
7.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",1996.0,0.3182
8.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",1368.0,0.2181
9.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",186.0,0.0297
10.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
11.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
12.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
13.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
14.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
15.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
16.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
17.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
18.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
19.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
20.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
21.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
22.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
23.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
24.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
25.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
26.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
27.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
28.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
29.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
30.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
31.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
32.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
33.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
34.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
35.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
36.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
37.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
38.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
39.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
40.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
41.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
42.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
43.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
44.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
45.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
46.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
47.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
48.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
49.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
50.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
51.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
52.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
53.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
54.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
55.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
56.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
57.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
58.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
59.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
60.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
61.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
62.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
63.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
64.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
65.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
66.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
67.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
68.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
69.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
70.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
71.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
72.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
73.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
74.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
75.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
76.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
77.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
78.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
79.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
80.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
81.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
82.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
83.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
84.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
85.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
86.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
87.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
88.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
89.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
