,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",436.0,0.0576
1.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",707.0,0.0934
2.0,5.0,"say, go, think, get, make, people, see, take, year, work",485.0,0.064
3.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",569.0,0.0751
4.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",2019.0,0.2666
5.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",1258.0,0.1661
6.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",302.0,0.0399
7.0,5.0,"say, go, think, get, make, people, see, take, year, work",467.0,0.0617
8.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",499.0,0.0659
9.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",831.0,0.1097
10.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
11.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
12.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
13.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
14.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
15.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
16.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
17.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
18.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
19.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
20.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
21.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
22.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
23.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
24.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
25.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
26.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
27.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
28.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
29.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
30.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
31.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
32.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
33.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
34.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
35.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
36.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
37.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
38.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
39.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
40.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
41.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
42.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
43.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
44.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
45.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
46.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
47.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
48.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
49.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
50.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
51.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
52.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
53.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
54.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
55.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
56.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
57.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
58.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
59.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
60.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
61.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
62.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
63.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
64.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
65.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
66.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
67.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
68.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
69.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
70.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
71.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
72.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
73.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
74.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
75.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
76.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
77.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
78.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
79.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
80.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
81.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
82.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
83.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
84.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
85.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
86.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
87.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
88.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
89.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
90.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
91.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
92.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
93.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
94.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
95.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
96.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
97.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
98.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
99.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
100.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
101.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
102.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
103.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
104.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
105.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
106.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
107.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
108.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
109.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
110.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
111.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
112.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
113.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
114.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
115.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
116.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
117.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
118.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
119.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
120.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
121.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
122.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
123.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
124.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
125.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
126.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
127.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
128.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
129.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
130.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
131.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
132.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
133.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
134.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
135.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
136.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
137.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
138.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
139.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
140.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
141.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
142.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
143.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
144.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
145.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
146.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
147.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
148.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
149.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
150.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
151.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
152.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
153.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
154.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
155.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
156.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
157.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
158.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
159.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
160.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
161.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
162.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
163.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
164.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
165.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
166.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
167.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
168.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
169.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
170.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
171.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
172.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
173.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
174.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
175.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
176.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
177.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
178.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
179.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
180.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
181.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
182.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
183.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
184.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
185.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
186.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
187.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
188.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
189.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
190.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
191.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
192.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
193.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
194.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
195.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
196.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
197.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
198.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
199.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
200.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
201.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
202.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
203.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
204.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
205.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
206.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
207.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
208.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
209.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
210.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
211.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
212.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
213.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
214.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
215.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
216.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
217.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
218.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
219.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
220.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
221.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
222.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
223.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
224.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
225.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
226.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
227.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
228.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
229.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
230.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
231.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
232.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
233.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
234.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
235.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
236.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
237.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
238.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
239.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
240.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
241.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
242.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
243.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
244.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
245.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
246.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
247.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
248.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
249.0,2.0,"fucking, nigga, think, mean, get, show, idiot, work, night, stupid",,
250.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
251.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
252.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
253.0,0.0,"see, shit, thank, list, make, dick, cucks_cuck, find, image, think",,
254.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
255.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
256.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
257.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
258.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
259.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
260.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
261.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
262.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
263.0,4.0,"page, edit, wikipedia, use, thank, make, get, article, get_alot, image",,
264.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
265.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
266.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
267.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
268.0,3.0,"source, edit, remove, block, stop, call, section, see, make, page",,
269.0,9.0,"edit, page, source, see, use, article, also, claim, wikipedia, remove",,
270.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
271.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
272.0,7.0,"ball, sex_sex, think, say, anal, make, get, woman, go, sex",,
273.0,1.0,"shit, redirect, page, people, think, man, say, add, go, die",,
274.0,8.0,"fuck, shit, bitch, get, go, try, make, account, edit, see",,
275.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
276.0,5.0,"say, go, think, get, make, people, see, take, year, work",,
277.0,6.0,"gay, porn, cunt, make, get, people, girl, go, think, picture",,
