,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.9590893387794495,"suck, nigger, article, cuntnlu, xdicksx, ballznigger, widr, seem, good, redirect",widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx
1,1.0,0.943749725818634,"cunt, smelly, moist, comment, list, thank, notability, book, decline, byline",cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt moist smelly cunt
2,2.0,0.9895314574241638,"article, section, first, topic, viewpoint, silly, comment, agree, subject, claim",suspect responsible phonetics section add linguistics section claim literary text quote natural language believe find citation support ought therefore delete much defence keep transcript subjective pov retain make second tell story necessary add evidence inadmissable duality subject certainly agree fable connection ipa work interesting mention include never argue otherwise transcription technical data however intrusive belongs seperate article focus subject therefore propose create article time proper citation provide link article remain focused fable general can not agree essence discussion subedit happy matter take arbitration would interest learn opinion others mzilikazi talk
3,3.0,0.9549971222877502,"cock, hammersoft, suck, category, cuntnlu, userpage, article, change, texas, give",category change hi clean category texas notice userpage list category article change userpage point category wikipedians texas userpage category instead
4,4.0,0.9774972200393677,"article, theory, add, decline, link, machine, assembly, fall, use, word",yes thats one theory another theory gibbon say decline fall implicit cant seperate thing least level want write article transformist decline view late antiquity good start article simply collection theory regard decline fall practical linking reason since many people use terminology article gateway article
5,5.0,0.9833325743675232,"article, name, ventura, read, link, engine, write, barry, also, thank",hello laurel thank advice de barra family name also come ireland like self research family ancestry last thirty year extensive knowalage history orgins name past generation generation also hold master degree liberal art history fact write thesis anglo saxon change make correct spelling name name de barry incorrect de barra french name de means de barry dose exist barry anglicization de barra kind regard wendy
6,6.0,0.9980132579803467,"vandalizer, cuntnlu, nlu, article, cunt, belarusian, jem, assembly, link, nazist",vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalizer vandalize
7,7.0,0.9699980020523071,"article, theory, write, conspiracy, consensus, ask, actively, unite, proposal, appear",go propse back get topic ban peter seller basically write article c class stage miff developed article overrode write warped vendetta article ca schrod particular spot ca chaplin review reason try trouble
8,8.0,0.9906242489814758,"article, use, see, compton, give, title, diacritic, new, come, discussion",romanization serbian hey noteced edits article want tell great job thank expand make effort improve fix perfectly part miss period wwii beleave must crutial period language merge creation serbocroatoslovenian must period new language become bialphabetical thus serbs start option writting language call scs alphabet make sense right cant find source event make come conclusion anyway come series discussion use diacritic wp come late last one sure active discussion regard anymore new discussion certainly appear consensus reach user strongly oppose use diacritic article title ictu oculi favour diacritic although would mind much end eliminate mean fanatic prefer correct native title would use ok end drop would prefer consensus reach
9,9.0,0.9990565776824951,"suck, nigger, article, ballznigger, nat, widr, source, burmese, murder, xdicksx",grrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck suck
